msl_trend,latbin,lonbin
2.545521,-67.0,-178.0
2.553583,-67.0,-177.0
2.5472598,-67.0,-176.0
2.4289587,-67.0,-175.0
2.3383772,-67.0,-174.0
2.2122078,-67.0,-173.0
2.166322,-67.0,-172.0
2.1546884,-67.0,-171.0
2.1378753,-67.0,-170.0
2.1045885,-67.0,-169.0
2.1110694,-67.0,-168.0
2.0956395,-67.0,-167.0
2.065652,-67.0,-166.0
2.0240748,-67.0,-165.0
2.0098627,-67.0,-164.0
1.9683045,-67.0,-163.0
1.9447353,-67.0,-162.0
1.9404114,-67.0,-161.0
1.91526,-67.0,-160.0
1.9121829,-67.0,-159.0
1.8869117,-67.0,-158.0
1.8894931,-67.0,-157.0
1.9054551,-67.0,-156.0
1.8782856,-67.0,-155.0
1.8599765,-67.0,-154.0
1.8334919,-67.0,-153.0
1.7609097,-67.0,-152.0
1.694869,-67.0,-151.0
1.6532496,-67.0,-150.0
1.5887477,-67.0,-149.0
1.5257299,-67.0,-148.0
1.461804,-67.0,-147.0
1.3658295,-67.0,-146.0
1.1594036,-67.0,-145.0
0.9273947,-67.0,-144.0
0.743023,-67.0,-143.0
0.7004516,-67.0,-142.0
1.0100967,-67.0,-141.0
1.3884591,-67.0,-140.0
1.3516281,-67.0,-139.0
1.2117687,-67.0,-138.0
1.1641296,-67.0,-137.0
1.1167713,-67.0,-136.0
1.2848709,-67.0,-135.0
1.3570808,-67.0,-134.0
1.222328,-67.0,-133.0
1.028161,-67.0,-132.0
0.91760254,-67.0,-131.0
0.87927866,-67.0,-130.0
0.651906,-67.0,-129.0
0.4584238,-67.0,-128.0
0.5307145,-67.0,-127.0
0.7540034,-67.0,-126.0
0.95332086,-67.0,-125.0
0.9770017,-67.0,-124.0
0.7287653,-67.0,-123.0
0.5890458,-67.0,-122.0
0.627169,-67.0,-121.0
0.672915,-67.0,-120.0
0.602689,-67.0,-119.0
0.5425196,-67.0,-118.0
0.6551493,-67.0,-117.0
0.8968824,-67.0,-116.0
0.9459945,-67.0,-115.0
0.68465793,-67.0,-114.0
0.51834,-67.0,-113.0
0.63401544,-67.0,-112.0
0.729872,-67.0,-111.0
1.2866708,-67.0,-110.0
1.970927,-67.0,-109.0
0.7347044,-67.0,-108.0
-1.3323318,-67.0,-107.0
-1.7612588,-67.0,-106.0
-1.7843671,-67.0,-105.0
-1.9736347,-67.0,-104.0
-1.8801383,-67.0,-103.0
-0.6095634,-67.0,-102.0
0.7136955,-67.0,-101.0
1.0887254,-67.0,-100.0
0.8015959,-67.0,-99.0
0.7767989,-67.0,-98.0
0.9663654,-67.0,-97.0
1.0616373,-67.0,-96.0
1.4125063,-67.0,-95.0
1.9059279,-67.0,-94.0
1.842333,-67.0,-93.0
1.6504081,-67.0,-92.0
1.4098375,-67.0,-91.0
1.0945047,-67.0,-90.0
1.2007818,-67.0,-89.0
1.6100919,-67.0,-88.0
1.5547953,-67.0,-87.0
0.967762,-67.0,-86.0
0.9570521,-67.0,-85.0
0.8540429,-67.0,-84.0
0.3427492,-67.0,-83.0
-0.15546055,-67.0,-82.0
1.5467821,-67.0,-81.0
2.560236,-67.0,-80.0
1.8665197,-67.0,-79.0
1.8682224,-67.0,-78.0
2.313983,-67.0,-77.0
2.6611278,-67.0,-76.0
2.5381248,-67.0,-75.0
2.7978244,-67.0,-74.0
2.7807264,-67.0,-73.0
2.8261554,-67.0,-72.0
2.8260689,-67.0,-71.0
2.7445242,-67.0,-70.0
2.6485517,-67.0,-69.0
2.5469513,-67.0,-68.0
2.6453986,-67.0,-67.0
2.5519772,-67.0,-58.0
2.5977428,-67.0,-57.0
2.6316764,-67.0,-56.0
2.7612088,-67.0,-55.0
2.0002432,-67.0,-39.0
2.0054913,-67.0,-38.0
2.001383,-67.0,-37.0
1.9915296,-67.0,-36.0
1.9678977,-67.0,-35.0
1.9313537,-67.0,-34.0
1.9285873,-67.0,-33.0
1.9461081,-67.0,-32.0
1.980078,-67.0,-31.0
2.0319052,-67.0,-30.0
2.090661,-67.0,-29.0
2.1495137,-67.0,-28.0
2.1587164,-67.0,-27.0
2.1474535,-67.0,-26.0
2.1149783,-67.0,-25.0
2.0810142,-67.0,-24.0
2.069265,-67.0,-23.0
2.1005907,-67.0,-22.0
2.1870186,-67.0,-21.0
2.2554357,-67.0,-20.0
2.2868123,-67.0,-19.0
2.29677,-67.0,-18.0
2.3045459,-67.0,-17.0
2.296828,-67.0,-16.0
2.3118882,-67.0,-15.0
2.3432014,-67.0,-14.0
2.3362598,-67.0,-13.0
2.3511367,-67.0,-12.0
2.3923788,-67.0,-11.0
2.4343257,-67.0,-10.0
2.4608495,-67.0,-9.0
2.4765813,-67.0,-8.0
2.5081165,-67.0,-7.0
2.5268328,-67.0,-6.0
2.5129006,-67.0,-5.0
2.4779177,-67.0,-4.0
2.4799082,-67.0,-3.0
2.545994,-67.0,-2.0
2.6402051,-67.0,-1.0
2.7101874,-67.0,0.0
2.724716,-67.0,1.0
2.6894968,-67.0,2.0
2.6650949,-67.0,3.0
2.6521292,-67.0,4.0
2.676928,-67.0,5.0
2.6962876,-67.0,6.0
2.7232206,-67.0,7.0
2.7474856,-67.0,8.0
2.7799969,-67.0,9.0
2.8262746,-67.0,10.0
2.815006,-67.0,11.0
2.7481527,-67.0,12.0
2.689444,-67.0,13.0
2.6566954,-67.0,14.0
2.5853488,-67.0,15.0
2.475366,-67.0,16.0
2.4219296,-67.0,17.0
2.410506,-67.0,18.0
2.4390569,-67.0,19.0
2.4347436,-67.0,20.0
2.4553802,-67.0,21.0
2.4797175,-67.0,22.0
2.4327147,-67.0,23.0
2.398519,-67.0,24.0
2.4123254,-67.0,25.0
2.4480019,-67.0,26.0
2.5422635,-67.0,27.0
2.5816288,-67.0,28.0
2.5755017,-67.0,29.0
2.5668755,-67.0,30.0
2.5336728,-67.0,31.0
2.5734317,-67.0,32.0
2.8004398,-67.0,33.0
2.7951934,-67.0,34.0
2.6309674,-67.0,35.0
2.5745478,-67.0,36.0
2.5534334,-67.0,37.0
2.533253,-67.0,38.0
2.5061715,-67.0,39.0
2.52135,-67.0,40.0
2.6253483,-67.0,41.0
2.7814505,-67.0,42.0
2.8767905,-67.0,43.0
2.9646053,-67.0,44.0
3.001717,-67.0,45.0
3.0190258,-67.0,46.0
2.9768162,-67.0,47.0
2.938291,-67.0,48.0
2.8879328,-67.0,49.0
2.959151,-67.0,50.0
2.732648,-67.0,57.0
2.6855564,-67.0,58.0
2.6694796,-67.0,59.0
2.7042847,-67.0,60.0
2.7683494,-67.0,61.0
2.75224,-67.0,62.0
2.749235,-67.0,63.0
2.8426778,-67.0,64.0
3.045712,-67.0,65.0
3.185319,-67.0,66.0
3.1687875,-67.0,67.0
3.1985898,-67.0,68.0
3.1274693,-67.0,69.0
3.0217743,-67.0,70.0
2.9615357,-67.0,71.0
2.9277005,-67.0,72.0
2.8995597,-67.0,73.0
3.0060065,-67.0,74.0
3.127685,-67.0,75.0
